Watts,Amps,4ft,10ft,18ft,26ft,34ft,68ft,75ft,102ft
10,0.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
20,0.8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
30,1.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
40,1.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
50,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
60,2.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
70,2.7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
80,3.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
90,3.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
100,3.9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
110,4.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
120,4.7,Yes,Yes,Yes,Yes,Yes,Yes,No,No
130,5.1,Yes,Yes,Yes,Yes,Yes,No,No,No
140,5.5,Yes,Yes,Yes,Yes,Yes,No,No,No
150,5.9,Yes,Yes,Yes,Yes,Yes,No,No,No
200,7.8,Yes,Yes,Yes,Yes,Yes,No,No,No
300,11.7,Yes,Yes,Yes,Yes,No,No,No,No
400,15.6,Yes,Yes,Yes,No,No,No,No,No
500,19.5,Yes,Yes,No,No,No,No,No,No
600,23.4,Yes,Yes,No,No,No,No,No,No
700,27.3,Yes,Yes,No,No,No,No,No,No
800,31.3,Yes,Yes,No,No,No,No,No,No
1600,62.5,Yes,No,No,No,No,No,No,No
